STRUCTURE_NUMBER_008,ADT_029,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060
1213,9066,76.8,21.5,6,6,7
12130,195,32.3,9.4,7,8,9
12131,6237,83.8,9.4,7,8,9
12132,41931,819.3,52.5,7,7,7
12133,38510,66.1,25.8,7,7,8
12134,44132,66.1,25.8,7,7,8
12135,1968,118.9,23.7,6,6,7
12136,19562,94.2,32.9,7,8,8
12137,3133,133.8,12.8,7,8,7
12138,21109,94.2,25.9,7,7,8
12139,3133,100.6,12.7,7,8,8
1214,9659,74.7,12.3,7,6,7
12140,5551,100.6,9.1,7,7,8
12141,40843,92,22.3,7,8,8
12142,4844,107,12.8,7,7,8
12143,21109,92.4,25.3,7,7,8
12144,2688,104.5,10.4,7,7,7
12145,388,104.9,9,7,7,8
12146,2860,38.7,12.8,7,7,7
12148,35,36,6.3,7,8,7
12149,25,12.2,5.8,5,5,7
1215,10059,74.7,12.3,7,6,7
12150,50,16.2,5.9,5,6,5
12151,20,67.4,4.8,4,3,4
12153,10,16.8,5.4,8,8,7
12154,35,18.3,4.9,8,7,8
12156,20,9.8,9.4,N,N,N
12157,100,41.1,8.7,7,7,8
1216,1782,54.6,9.3,9,7,7
12160,10,24.1,5,8,6,7
12162,10,48.8,4.3,3,3,4
12163,15,9.1,4.9,8,6,7
12164,100,9.1,6.2,6,6,6
12165,50,11.6,0,N,N,N
12166,25,31.7,5.2,8,8,8
12167,10,42.7,8.1,8,8,8
12168,120,40.5,8.2,6,6,7
1217,2226,50,10.1,6,7,7
12171,50,7.9,7.3,N,N,N
12172,35,28.7,7.4,7,7,7
12178,5,12.8,6.1,8,8,5
1218,1265,83.5,9.3,5,6,6
12182,50,10.4,4.3,6,7,5
12189,25,7.6,4.9,6,6,6
